PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,LATITUDE,LONGITUDE,PRICE
Single Family Residential,517 Quimby Ave NE,Grand Rapids,MI,49505,3,1,1563,4748,1922,1,,42.9894596,-85.6564201,139900
Condo/Co-op,940 Monroe Ave NW #216,Grand Rapids,MI,49503,1,1,582,,1892,1,217,42.9792181,-85.671698,149900
Condo/Co-op,2142 Ter Van NE #54,Grand Rapids,MI,49505,1,2.5,1072,,1980,3,225,43.002501,-85.616444,150000
Multi-Family (2-4 Unit),707 Livingston Ave NE,Grand Rapids,MI,49503,4,3,,6011,1910,49,,42.975521,-85.666335,149900
Multi-Family (2-4 Unit),1707 Godwin Ave SE Unit 1 and 2,Grand Rapids,MI,49507,4,2,,6621,1900,129,,42.93248,-85.657483,132500
Single Family Residential,836 Bristol NW,Grand Rapids,MI,49504,3,2,1300,9900,1920,1,,42.9797943,-85.707173,135000
Single Family Residential,1911 Leonard NW,Grand Rapids,MI,49504,2,1,1329,,1953,1,,42.986269,-85.715752,132900
Single Family Residential,1337 NE Portland Ave,Grand Rapids,MI,49505,3,1,1444,4472,1922,3,,42.9873733,-85.6508201,144900
Single Family Residential,1839 Stilesgate St SE,Grand Rapids,MI,49508,4,2.5,2450,28,1960,8,,42.896319,-85.620168,149900
Single Family Residential,1567 Quarry NW,Grand Rapids,MI,49504,4,1.5,1691,,1937,1,,42.991911,-85.681673,144500
Single Family Residential,729 College Ave NE,Grand Rapids,MI,49503,4,2,2238,8500,1900,133,,42.975826,-85.657494,134900
Single Family Residential,147 Elmwood St NE,Grand Rapids,MI,49505,4,2,1650,5401,1915,7,,42.9983839,-85.6654443,136999
Multi-Family (2-4 Unit),9 Knapp NW,Grand Rapids,MI,49505,2,2,,11979,1958,219,,42.999411,-85.669335,149999
Single Family Residential,1165 Beechwood St NE,Grand Rapids,MI,49505,2,1.5,1339,5009,1942,1,,43.008593,-85.640055,134900
Single Family Residential,1346 Northrup NW,Grand Rapids,MI,49504,3,1.5,1372,8280,1949,1,,42.9891859,-85.724457,135000
Single Family Residential,718 Pat Ave NW,Grand Rapids,MI,49504,3,1.5,1601,6105,1900,34,,42.9770262,-85.6918782,139900
Single Family Residential,1601 Diamond Ct NE,Grand Rapids,MI,49505,3,1,1368,7623,1980,3,,42.991912,-85.644047,129900
Condo/Co-op,940 Monroe Ave NW Unit 455B,Grand Rapids,MI,49503,0,1,570,,1893,7,210,42.9792181,-85.671698,139900
Single Family Residential,1401 Elliott SE,Grand Rapids,MI,49507,3,1,2160,5270,1936,7,,42.9292961,-85.6337738,128000
Multi-Family (2-4 Unit),3 Knapp St NW,Grand Rapids,MI,49505,2,1,,15681,1960,219,,42.999614,-85.669219,149999
Single Family Residential,936 Crescent NE,Grand Rapids,MI,49503,3,1,1248,5227,1910,1,,42.968846,-85.645591,149900
Condo/Co-op,3053 Maple Villa Dr SE #54,Grand Rapids,MI,49508,2,2.5,1738,,1993,84,230,42.9082689,-85.6166996,156500
Multi-Family (2-4 Unit),1300-1302 Dunham St SE,Grand Rapids,MI,49506,4,2,,5052,1940,42,,42.9508749,-85.636759,160000
Condo/Co-op,2159 Ter Van Dr NE #51,Grand Rapids,MI,49505,3,2.5,1882,,1987,119,225,43.001943,-85.616327,160500
Condo/Co-op,600 Broadway Ave NW #313,Grand Rapids,MI,49504,2,1,875,,2006,140,249,42.9742096,-85.6792612,173000
Condo/Co-op,2982 Windcrest Way NE #2982,Grand Rapids,MI,49525,2,2,1262,,1997,154,240,42.988144,-85.593698,173500
Multi-Family (2-4 Unit),242 Grand Ave NE #244,Grand Rapids,MI,49503,6,2,,3876,1913,114,,42.9686329,-85.651793,151000
Multi-Family (2-4 Unit),2211 Countrywood Dr SE #2213,Kentwood,MI,49508,6,3,,17424,1979,253,,42.881968,-85.610937,167000
Single Family Residential,1095 4 Mile Rd NE,Grand Rapids,MI,49525,,,,27443,,,,43.029429,-85.642175,155000
Single Family Residential,603 Windsor Ter SE,Grand Rapids,MI,49503,,2,2560,4661,1894,,,42.96173,-85.654004,167500
Condo/Co-op,600 Broadway Ave NW Unit 621A,Grand Rapids,MI,49504,1,1,598,,1900,1,194,42.9742096,-85.6792612,159900
Condo/Co-op,600 Broadway Ave NW #403,Grand Rapids,MI,49504,1,1,703,,1875,158,214,42.9742096,-85.6792612,162900
Single Family Residential,1744 Loralee St SE,Grand Rapids,MI,49508,4,3.5,3448,11475,1967,57,,42.891169,-85.6222839,170000
Condo/Co-op,600 NW Broadway Ave NW Unit 113A,Grand Rapids,MI,49504,2,1,1315,,1900,70,349,42.9742096,-85.6792612,169900
Condo/Co-op,3009 Kay Dr SE #90,Grand Rapids,MI,49508,3,2,1785,,1997,210,230,42.9087203,-85.6161953,152000
Condo/Co-op,634 Bradford Pl NE #55,Grand Rapids,MI,49525,2,2,1458,,1988,46,205,42.974249,-85.5878029,150000
Single Family Residential,1005 Ottillia St SE,Grand Rapids,MI,49507,,1.5,1512,10759,1947,,,42.923503,-85.64256,152522
Condo/Co-op,2156 Wildfield NE #24,Grand Rapids,MI,49505,3,3,1572,1,1985,133,186,43.0033869,-85.616717,157000
Single Family Residential,1857 Michigan St NE,Grand Rapids,MI,49503,,1,975,21780,1950,,,42.970413,-85.622769,159000
Single Family Residential,944 Merrifield St SE,Grand Rapids,MI,49507,4,1.5,1389,9974,1927,163,,42.924595,-85.6432662,154250
Condo/Co-op,600 Broadway Ave NW Apt 316,Grand Rapids,MI,49504,0,1,785,,1900,,,42.9742096,-85.6792612,162000
Single Family Residential,500 Shawmut Blvd NW,Grand Rapids,MI,49504,3,1.5,1448,12838,1941,,,42.973692,-85.719072,165100
Multi-Family (2-4 Unit),639 Hawthorne NE,Grand Rapids,MI,49503,4,2,,,1900,175,,42.966327,-85.652912,168500
Condo/Co-op,2273 Edington Dr SE #110,Grand Rapids,MI,49508,3,2,1406,,1984,248,250,42.898041,-85.610527,151000
Single Family Residential,717 Griswold SE,Grand Rapids,MI,49507,3,2,1792,6292,1941,254,,42.9212273,-85.6490097,152000
Single Family Residential,1225 Van Auken St SE,Grand Rapids,MI,49508,3,1.5,1311,19950,1959,,,42.903452,-85.635872,156000
Single Family Residential,3048 Burritt St NW,Grand Rapids,MI,49504,,2,768,7228,1998,,,42.975375,-85.74442,152500
Single Family Residential,3108 Woodglen St NW,Grand Rapids,MI,49504,3,1,1142,7572,2000,,,42.977639,-85.745515,169000
Single Family Residential,1729 Chamberlain Ave SE,Grand Rapids,MI,49506,4,1.5,1971,10660,1956,246,,42.9317123,-85.6209473,150000
Condo/Co-op,508 Lyon St NE #9,Grand Rapids,MI,49503,1,1,951,,1919,329,185,42.9673735,-85.6565882,174000
Multi-Family (2-4 Unit),1453-1455 Adams St SE,Grand Rapids,MI,49506,,,,8450,1954,213,,42.938189,-85.632492,162000
Single Family Residential,1612 Acacia NW,Grand Rapids,MI,49504,3,1,1668,40510,1951,350,,42.995909,-85.734277,169000
Condo/Co-op,940 Monroe Ave NW #122,Grand Rapids,MI,49503,1,1,695,,1892,245,242,42.9792181,-85.671698,159000
Condo/Co-op,600 Broadway Ave NW #406,Grand Rapids,MI,49504,1,1,942,,1900,28,243,42.9742096,-85.6792612,174900
Single Family Residential,1641 Southampton SE,Grand Rapids,MI,49508,3,1,1496,10400,1976,,,42.895322,-85.624827,154600
Condo/Co-op,600 Broadway Ave NW #213,Grand Rapids,MI,49504,1,1,799,,2005,109,215,42.9742096,-85.6792612,167900
Condo/Co-op,600 Broadway Ave NW #206,Grand Rapids,MI,49504,1,1,659,,1875,273,205,42.9742096,-85.6792612,160000
Single Family Residential,1524 Laughlin Dr NW,Grand Rapids,MI,49504,4,2,1615,10000,1950,,,42.992524,-85.742758,151500
Single Family Residential,224 Houseman Ave NE,Grand Rapids,MI,49503,,1.5,1732,3180,1900,,,42.968048,-85.646785,161000
Condo/Co-op,600 Broadway NW #240,Grand Rapids,MI,49504,1,1,822,,1900,49,236,42.9742096,-85.6792612,151500
Condo/Co-op,600 Broadway Ave NW #106,Grand Rapids,MI,49504,1,1,800,,1900,119,250,42.9742096,-85.6792612,165000
Single Family Residential,2730 Godwin Ave SE,Grand Rapids,MI,49507,3,1.5,2704,16509,1938,120,,42.9141473,-85.6543382,159900
Multi-Family (2-4 Unit),1311-1313 Kalamazoo SE,Grand Rapids,MI,49507,7,4,,7316,1976,119,,42.939271,-85.642809,165000
Single Family Residential,853 Summertime Ave SE,Kentwood,MI,49508,3,2,2305,6534,1994,133,,42.882284,-85.644336,165000
Condo/Co-op,2149 N Cross Creek Dr SE #6,Grand Rapids,MI,49508,2,2,1778,,1988,136,283,42.8973245,-85.6159932,173000
Single Family Residential,3530 Dawes Ave SE,Grand Rapids,MI,49508,3,1.5,2311,12750,1957,319,,42.898742,-85.623446,165000
Condo/Co-op,3020 Maple Villa Dr SE Unit -,Grand Rapids,MI,49508,3,2,2014,,1993,84,230,42.908654,-85.6165858,172000
Condo/Co-op,3050 Maple Villa Dr SE #7,Grand Rapids,MI,49508,3,2,1840,,1991,256,230,42.907615,-85.6164163,151500
Single Family Residential,2644 Brooklyn Ave SE,Grand Rapids,MI,49507,3,1.5,1686,18774,1928,231,,42.9149529,-85.637813,160640
Single Family Residential,948 Alger St SE,Grand Rapids,MI,49507,,1.5,1622,5619,1942,,,42.9198001,-85.6429004,162000
Single Family Residential,861 Nevada St SE,Grand Rapids,MI,49507,3,2,1512,6150,1949,253,,42.917592,-85.644674,152500
Single Family Residential,2319 Rosewood Ave SE,Grand Rapids,MI,49506,3,2.5,2434,7448,1960,112,,42.921117,-85.626265,152300
Single Family Residential,2115 Plymouth Ave SE,Grand Rapids,MI,49506,3,2.5,2180,6011,1954,261,,42.924922,-85.624135,175000
Single Family Residential,2651 Brooklane Ave SE,Grand Rapids,MI,49507,5,2.5,2314,14897,1961,259,,42.915269,-85.65613,160000
Single Family Residential,1341 Sylvan SE,Grand Rapids,MI,49506,3,2,2040,,1953,238,,42.9383989,-85.630185,154500
Single Family Residential,1906 Chamberlain Ave SE,Grand Rapids,MI,49506,3,1.5,2164,7448,1954,284,,42.928628,-85.619927,166500
Single Family Residential,2051 Griggs St SE,Grand Rapids,MI,49506,3,1,2022,7187,1956,144,,42.930546,-85.617134,159900
Single Family Residential,1830 Plymouth Ter SE,Grand Rapids,MI,49506,3,1.5,1503,9444,1967,308,,42.9379951,-85.6234457,159700
Single Family Residential,1426 Sherman SE,Grand Rapids,MI,49506,3,1.5,1496,5000,1915,133,,42.95165,-85.633587,157500
Single Family Residential,1347 Sigsbee St SE,Grand Rapids,MI,49506,,1,1556,5009,1910,,,42.954906,-85.635201,153000
Multi-Family (2-4 Unit),436 Union St SE,Grand Rapids,MI,49503,,,,9147,1900,238,,42.954557,-85.65384,150000
Single Family Residential,315 Benson Ave Ne NE,Grand Rapids,MI,49503,3,1.5,1530,4268,1878,332,,42.969374,-85.653569,166000
Single Family Residential,327 Baynton NE,Grand Rapids,MI,49503,3,2,1355,6272,1948,242,,42.968987,-85.632131,166000
Single Family Residential,345 Alten Ave NE,Grand Rapids,MI,49503,3,2,2447,6229,1952,361,,42.969571,-85.630337,155000
Single Family Residential,2491 Orchard View Dr NE,Grand Rapids,MI,49505,,2.5,1763,11674,1967,,,42.9831069,-85.608241,170000
Single Family Residential,1051 Applewood Dr NE,Grand Rapids,MI,49505,4,1.5,1344,9409,1977,,,42.981628,-85.607953,160000
Single Family Residential,2140 Chesapeake Dr NE,Grand Rapids,MI,49505,4,1.5,1590,8364,1968,,,42.978286,-85.616077,167000
Single Family Residential,1660 Auburn,Grand Rapids,MI,49505,3,2.5,2266,9583,1966,126,,42.993476,-85.637642,168000
Single Family Residential,1522 Ball Ave NE,Grand Rapids,MI,49505,3,1.5,1774,7800,1958,287,,42.990545,-85.629625,150000
Single Family Residential,1810 Perkins Ave NE,Grand Rapids,MI,49505,,1.5,1442,75359,1959,,,42.995533,-85.61938,175000
Single Family Residential,2436 Dewberry Dr NE,Grand Rapids,MI,49505,4,2,1800,7405,1990,161,,42.98647,-85.609489,170000
Condo/Co-op,3015 Windcrest Way NE,Grand Rapids,MI,49525,2,1,1105,,1996,319,250,42.989005,-85.594455,165500
Condo/Co-op,2153 Remington Way NE #157,Grand Rapids,MI,49505,3,2.5,1644,,1990,224,225,43.0012962,-85.6179025,151740
Single Family Residential,2720 Mayfield Ave NE,Grand Rapids,MI,49505,4,2,1948,7405,1975,134,,43.012224,-85.632394,163000
Single Family Residential,1429 Sibley NW,Grand Rapids,MI,49504,3,1,1683,21000,1956,130,,42.9681517,-85.7025492,165000
Single Family Residential,1524 Mount Mercy Dr NW,Grand Rapids,MI,49504,3,2,1492,16100,1963,175,,42.973518,-85.705371,160000
Single Family Residential,1610 4th St NW,Grand Rapids,MI,49504,3,1.5,1219,14375,1963,,,42.97643,-85.707766,151000
Single Family Residential,625 Charlotte Ave NW,Grand Rapids,MI,49504,4,2,1911,13939,1945,253,,42.975808,-85.731844,171225
Single Family Residential,1900 Eighth St NW,Grand Rapids,MI,49504,3,1.5,2518,9000,1963,14,,42.979767,-85.714892,165000
Single Family Residential,1151 Van Ess Ave NW,Grand Rapids,MI,49504,3,2,2575,32234,1958,252,,42.985479,-85.741605,175000
Single Family Residential,1645 Acacia Dr NW,Grand Rapids,MI,49504,3,1.5,2417,38990,1953,161,,42.993902,-85.733089,159000
Single Family Residential,1771 Acacia Dr NW,Grand Rapids,MI,49504,5,3.5,2620,34038,1960,245,,42.99698,-85.733395,175000
Single Family Residential,2066 Cherry Run Ct NW,Grand Rapids,MI,49504,4,2.5,2020,9060,1967,308,,43.002108,-85.729244,156000
Single Family Residential,311 Cherry St SE,Grand Rapids,MI,49503,,2,2335,4095,1875,,,42.959668,-85.661157,168000
Multi-Family (2-4 Unit),727-729 Marietta St NE,Grand Rapids,MI,49505,4,2,,13852,1977,200,,42.990194,-85.651223,154000
Multi-Family (2-4 Unit),2910-2912 Newton Ave SE,Grand Rapids,MI,49508,2,1,,17689,1978,49,,42.910254,-85.613104,154900
Multi-Family (2-4 Unit),601 Lafayette Ave SE,Grand Rapids,MI,49503,,,,6136,1900,283,200,42.951398,-85.66212,170000
Single Family Residential,523 Norwood Ave SE,Grand Rapids,MI,49506,2,2,1649,6186,1906,,,42.952927,-85.632034,162000
Multi-Family (2-4 Unit),744 Lockwood St NE,Grand Rapids,MI,49503,4,2,,4486,1917,88,,42.96344,-85.650543,150000
Multi-Family (2-4 Unit),231 Eastern Ave SE,Grand Rapids,MI,49503,5,3,,,1900,7,,42.95857,-85.649738,175000
Multi-Family (2-4 Unit),2425 Edgewood Ave SE,Grand Rapids,MI,49546,5,2,,9713,1965,316,,42.918759,-85.595076,159900
Multi-Family (2-4 Unit),3930-3932 Camelot Dr SE,Grand Rapids,MI,49546,6,30,,14810,1976,37,,42.920208,-85.571484,175000
Multi-Family (2-4 Unit),665 Broadway Ave NW,Grand Rapids,MI,49503,8,4,,5009,1915,63,,42.975624,-85.680009,175000
Multi-Family (2-4 Unit),,Grand Rapids,MI,49505,,,,14400,1977,235,,42.990189,-85.652236,155000
Single Family Residential,1665 Plainfield Ave NE,Grand Rapids,MI,49505,5,2,2256,6969,1890,135,,42.9935702,-85.661167,157500
Multi-Family (2-4 Unit),225 Henry Ave SE,Grand Rapids,MI,49503,,,,6864,1880,360,,42.9587689,-85.652206,167000
Multi-Family (2-4 Unit),808 Park St SW,Grand Rapids,MI,49504,6,2,,4356,1890,70,,42.959781,-85.687785,163500
Multi-Family (2-4 Unit),739 Fairview Ave NE,Grand Rapids,MI,49503,4,2,,5793,1880,43,,42.976363,-85.6676279,165000
Single Family Residential,2551 Eastern SE,Grand Rapids,MI,49507,6,3,2600,9583,1910,112,,42.91699,-85.647835,153000
Multi-Family (2-4 Unit),322 Diamond NE,Grand Rapids,MI,49503,4,2,,2053,1920,123,,42.9686132,-85.6444086,166000
Single Family Residential,1353 Vineland Ct SE,Grand Rapids,MI,49508,8,4,3808,17163,1985,,,42.909913,-85.632673,174000
Multi-Family (2-4 Unit),3210 Marshall Ave SE,Grand Rapids,MI,49508,8,4,,12414,1965,85,,42.905338,-85.644509,170000
Single Family Residential,604 Union St SE,Grand Rapids,MI,49503,,2,3016,4966,1917,,,42.951814,-85.653865,162500
Single Family Residential,821 Fairmount St SE,Grand Rapids,MI,49506,4,2,1654,4050,1915,126,,42.957795,-85.64848,165000
Multi-Family (2-4 Unit),2949 Okemos Dr SE,Grand Rapids,MI,49546,5,2,,6403,1966,350,,42.919218,-85.594497,174550
Multi-Family (2-4 Unit),941 Baldwin St SE,Grand Rapids,MI,49503,,,,3960,1905,273,,42.961895,-85.645615,173000
Single Family Residential,237 Olivia Ct NW,Grand Rapids,MI,49504,3,1.5,2026,8276,1993,217,,42.9689326,-85.7357278,160000
Condo/Co-op,940 Monroe Ave NW #325,Grand Rapids,MI,49503,1,1,1005,,2007,289,268,42.9792181,-85.671698,175000
Single Family Residential,1914 Keyhill Ave SE,Grand Rapids,MI,49546,3,1.5,1538,10890,1962,7,,42.928437,-85.576105,175000
Single Family Residential,1400 Logan St SE,Grand Rapids,MI,49506,4,2,2150,,1914,91,,42.953489,-85.6344869,175000
Single Family Residential,1551 Laughlin Dr NW,Grand Rapids,MI,49504,4,2,2298,11325,1951,1,,42.9928,-85.743627,170000
Single Family Residential,1101 Beechwood St NE,Grand Rapids,MI,49505,3,1.5,1785,5000,1932,14,,43.008589,-85.642466,155800
Single Family Residential,1905 Englewood Dr SE,Grand Rapids,MI,49506,3,2,1642,5227,1955,296,,42.9286477,-85.6181757,158000
Single Family Residential,1005 N Ottillia SE,Grand Rapids,MI,49507,3,1.5,1512,10454,1947,259,,42.9235495,-85.6425872,152522
Single Family Residential,735 Bristol Ave NW,Grand Rapids,MI,49504,,1,1206,19800,1947,,,42.97799,-85.70783,161000
Single Family Residential,2211 Countrywood Dr SE,Kentwood,MI,49508,,,,17860,,,,42.881968,-85.610937,167000
Single Family Residential,1105 Alger St SE,Grand Rapids,MI,49507,4,1.5,2155,6336,1940,315,,42.920286,-85.6402729,167500
Single Family Residential,1121 Lake Dr SE,Grand Rapids,MI,49506,4,2,1766,4356,1890,9,,42.959028,-85.640697,175000
Single Family Residential,1247 Rennslaer St NW,Grand Rapids,MI,49504,3,2.5,2756,9000,1965,94,,42.984254,-85.699719,160500
Single Family Residential,1309 Plymouth Ave SE,Grand Rapids,MI,49506,3,1,1871,5488,1950,233,,42.939261,-85.625123,155000
Single Family Residential,1927 Woodward Ave SE,Grand Rapids,MI,49506,3,2,2069,7750,1955,126,,42.928052,-85.621874,170000
Single Family Residential,2266 Everest Ave SE,Grand Rapids,MI,49507,,1,1300,8059,1951,,,42.921629,-85.662076,154000
Single Family Residential,730 Griswold St SE,Grand Rapids,MI,49507,,1,1248,6055,1952,,,42.920768,-85.648523,155810
Single Family Residential,609 Eastern Ave NE,Grand Rapids,MI,49503,4,2,1444,6534,1925,56,,42.974236,-85.64999,166000
Single Family Residential,1232 Philadelphia SE,Grand Rapids,MI,49506,3,1.5,2888,6250,1946,256,,42.940041,-85.630717,165000
Condo/Co-op,940 Monroe Ave NW #126,Grand Rapids,MI,49503,1,1,702,,2007,10,243,42.9792181,-85.671698,151000
Single Family Residential,2516 Almont Ave SE,Grand Rapids,MI,49507,4,2.5,2229,8712,1942,157,,42.917725,-85.640312,174000
Single Family Residential,1118 Edna St SE,Grand Rapids,MI,49507,3,2,2125,6098,1950,150,,42.921551,-85.639892,169000
Single Family Residential,1539 Laurel Ave SE,Grand Rapids,MI,49506,3,2,1627,8712,1999,301,,42.935083,-85.616851,168000
Single Family Residential,1718 Radcliff Ave SE,Grand Rapids,MI,49506,5,2.5,2315,11238,1956,183,,42.931911,-85.592127,171500
Single Family Residential,2639 Burton SE,Grand Rapids,MI,49546,4,2.5,2614,10890,1948,133,,42.927352,-85.602632,167900
Single Family Residential,1340 Derby Dr NW,Grand Rapids,MI,49504,3,1.5,1892,,1940,99,,42.988959,-85.7129269,153500
Single Family Residential,646 Nordberg Ave NW,Grand Rapids,MI,49504,3,2,1982,6072,1974,282,,42.9764289,-85.72252,165000
Single Family Residential,1905 Concord SE,Grand Rapids,MI,49506,4,2.5,1991,7492,1955,56,,42.928683,-85.617082,174900
Single Family Residential,1359 Hillcrest Ave NW,Grand Rapids,MI,49504,3,2,1919,10560,1950,184,,42.989374,-85.716711,154000
Multi-Family (2-4 Unit),330 Hollister Ave SE,Grand Rapids,MI,49506,,,,5000,1900,170,,42.9566637,-85.6475873,170000
Single Family Residential,1946 Woodward Ave SE,Grand Rapids,MI,49506,,1.5,1400,6621,1956,,,42.927537,-85.62109,169000
Single Family Residential,2469 Paris Ave NE,Grand Rapids,MI,49505,3,2,1168,10004,1950,179,,43.0083168,-85.6564567,167250
Single Family Residential,1729 Hiawatha Dr SE,Grand Rapids,MI,49506,3,2,1499,7666,1989,77,,42.940723,-85.625926,160000
Single Family Residential,1460 Van Auken St SE,Grand Rapids,MI,49508,4,2,2586,10500,1951,203,,42.902883,-85.629737,160000
Single Family Residential,1739 Bridge St NW,Grand Rapids,MI,49504,3,2,1954,9100,1957,197,,42.971679,-85.711221,160000
Single Family Residential,1030 Fairmount St SE,Grand Rapids,MI,49506,3,2,1470,5280,1910,345,,42.957571,-85.643179,160580
Single Family Residential,1847 Hillmount St NW,Grand Rapids,MI,49504,5,2,1580,7941,1935,134,,42.987187,-85.713491,150000
Single Family Residential,229 Westmont Dr NW,Grand Rapids,MI,49504,3,1.5,1872,8471,1952,128,,42.9688086,-85.7158746,155900
Multi-Family (2-4 Unit),,Grand Rapids,MI,49505,4,16,,8319,1950,143,,42.986913,-85.651283,158000
Single Family Residential,425 Ethel Ave SE,Grand Rapids,MI,49506,4,1.5,1648,4752,1923,189,,42.9547979,-85.633248,175000
Condo/Co-op,505 Cherry St SE Apt 612,Grand Rapids,MI,49503,2,1,922,,1949,,,42.960021,-85.656451,155000
Single Family Residential,1447 Mayfield Ave NE,Grand Rapids,MI,49505,4,2,1993,7405,1957,197,,42.9893007,-85.6326222,153900
Single Family Residential,1428 10th St NW,Grand Rapids,MI,49504,2,2,1885,9289,1986,,,42.980519,-85.70375,158000
Single Family Residential,612 Graceland St NE,Grand Rapids,MI,49505,4,2,1638,6068,1925,10,,43.000418,-85.65422,160000
Condo/Co-op,600 Broadway Ave NW #316,Grand Rapids,MI,49504,1,1,785,,1875,301,230,42.9742096,-85.6792612,162000
Single Family Residential,1747 Timberlane Ln NE,Grand Rapids,MI,49505,4,2.5,1984,8450,1964,63,,43.005531,-85.625815,164900
Single Family Residential,1172 Edna St SE,Grand Rapids,MI,49507,3,1,1007,5968,1951,,,42.921522,-85.637848,155000
Single Family Residential,1372 Blossom St SE,Grand Rapids,MI,49508,4,3,1825,18150,1967,,,42.89018,-85.631496,151000
Single Family Residential,1316 Cambridge SE,Grand Rapids,MI,49506,3,2,1912,6621,1988,150,,42.9390659,-85.62553,162000
Single Family Residential,3661 Stilesgate Ct SE,Grand Rapids,MI,49508,3,2,2347,12806,1964,183,,42.896589,-85.62558,166000
Single Family Residential,737 Cashew Ct NW,Grand Rapids,MI,49504,3,2,1600,27933,1996,358,,42.978357,-85.75039,174000
Single Family Residential,1252 Bemis St SE,Grand Rapids,MI,49506,4,2.5,2054,4792,1915,51,,42.952576,-85.637423,162000
Single Family Residential,148 N Parklane Dr NE,Grand Rapids,MI,49505,3,1.5,2200,7492,1956,134,,43.0090281,-85.6653482,165000
Single Family Residential,1046 Rosalie Ave NW,Grand Rapids,MI,49504,3,2,1742,29800,1952,185,,42.984085,-85.742574,170900
Single Family Residential,3303 NE Dorais Dr,Grand Rapids,MI,49525,5,1.5,2022,30927,1953,274,,43.022432,-85.627205,163000
Single Family Residential,2210 Ridgewood Ave SE,Grand Rapids,MI,49546,4,2,1775,10106,1966,,,42.923128,-85.596216,170000
Single Family Residential,32 Lakeside Dr NE,Grand Rapids,MI,49503,3,2,2017,11325,1955,161,,42.963399,-85.617241,168400
Single Family Residential,2443 Belfast SE,Grand Rapids,MI,49507,4,2,1850,5136,1940,266,,42.918739,-85.641953,155000
Single Family Residential,1538 10th St NW,Grand Rapids,MI,49504,3,1.5,2073,10890,1959,7,,42.980585,-85.706545,155202
Single Family Residential,220 Lawndale Ave NE,Grand Rapids,MI,49503,1,1,1274,6534,1951,217,,42.967303,-85.625799,168500
Single Family Residential,1047 Calvin Ave SE,Grand Rapids,MI,49506,3,2,1518,4960,1925,154,,42.943317,-85.636072,155500
Single Family Residential,1238 Mound Ave NW,Grand Rapids,MI,49504,3,2,1558,7405,1939,133,,42.9871679,-85.712486,155000
Single Family Residential,840 4 Mile Rd NE,Grand Rapids,MI,49525,3,1.5,1560,15246,1962,21,,43.028531,-85.648299,160000
Single Family Residential,853 Walsh St SE,Grand Rapids,MI,49507,2,1,975,5924,1949,,,42.915088,-85.6451189,152900
Single Family Residential,1758 Lake Michigan Dr NW,Grand Rapids,MI,49504,3,2,1428,12375,1960,148,,42.967534,-85.712181,163000
Single Family Residential,3906 Kirkshire SE,Grand Rapids,MI,49508,3,1.5,1565,11325,1966,344,,42.892619,-85.628539,170000
Single Family Residential,2624 Eastern Ave SE,Grand Rapids,MI,49507,4,2,1801,6552,1939,308,,42.915875,-85.646944,170000
Single Family Residential,648 Hoyt St SE,Grand Rapids,MI,49507,3,2,1472,5924,1940,,,42.923487,-85.650689,163000
Single Family Residential,1612 Hall St SE,Grand Rapids,MI,49506,4,1.5,1302,6621,1941,122,,42.9407766,-85.6293771,157000
Single Family Residential,60 Holmdene Blvd NE,Grand Rapids,MI,49503,3,1,1020,7841,1951,,,42.964466,-85.627063,160000
Single Family Residential,1014 Crescent St NE,Grand Rapids,MI,49503,,1.5,1152,7231,1927,,,42.968781,-85.64395,155000
Single Family Residential,2255 Union SE,Grand Rapids,MI,49507,4,2.5,2552,5967,1930,196,,42.9221457,-85.6529888,165000
Single Family Residential,138 Mayfield Ave NE,Grand Rapids,MI,49503,3,2,1112,6969,1924,235,,42.9655476,-85.6323563,168900
Multi-Family (2-4 Unit),613 Hawthorne St NE,Grand Rapids,MI,49503,3,2,,15681,1900,121,,42.966348,-85.653878,161165
Single Family Residential,1217 Sigsbee St SE,Grand Rapids,MI,49506,3,1.5,2172,6250,1908,190,,42.954922,-85.638774,154900
Single Family Residential,3836 Giddings SE,Grand Rapids,MI,49508,4,2.5,1678,,2000,143,,42.893608,-85.630409,159900
Single Family Residential,3251 Dawes Ave SE,Grand Rapids,MI,49508,3,1.5,1800,9234,1955,10,,42.90475,-85.623551,160000
Single Family Residential,3695 Giddings Ave SE,Grand Rapids,MI,49508,3,2,1965,18370,1953,185,,42.896426,-85.631163,159900
Single Family Residential,2435 Foster Ave NE,Grand Rapids,MI,49505,3,2,1720,14244,1950,65,,43.007307,-85.6518799,159900
Single Family Residential,4225 Holyoke Dr SE,Grand Rapids,MI,49508,4,3.5,2251,10149,1979,7,,42.886555,-85.61972,169000
Single Family Residential,2045 Union Ave SE,Grand Rapids,MI,49507,3,1.5,1476,5227,1926,184,,42.926102,-85.653313,170000
Single Family Residential,1832 Observatory Ave SE,Kentwood,MI,49546,3,2,1850,10200,1972,134,,42.929773,-85.578717,170600
Single Family Residential,3253 Giddings Ave SE,Grand Rapids,MI,49508,3,2,2339,19600,1929,163,,42.903754,-85.631749,164972
Single Family Residential,1819 Newton Ave SE,Grand Rapids,MI,49506,3,1,1700,7797,1956,70,,42.930106,-85.615897,154000
Single Family Residential,1336 Trailside Ct NW,Grand Rapids,MI,49504,2,2.5,1417,4949,1995,,,42.988604,-85.739934,159000
